ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
115.69	81625
115.7	81971
115.71	81217
115.72	81641
115.73	81802
115.74	81860
115.75	81770
115.76	82078
115.77	81928
115.78	81865
115.79	82245
115.8	82515
115.81	82339
115.82	82990
115.83	82211
115.84	82197
115.85	82430
115.86	82643
115.87	82808
115.88	82869
115.89	82745
115.9	83198
115.91	83017
115.92	83214
115.93	83090
115.94	83333
115.95	83843
115.96	83521
115.97	83719
115.98	83422
115.99	83864
116	84056
116.01	83683
116.02	83683
116.03	83975
116.04	84417
116.05	83994
116.06	84238
116.07	84080
116.08	83571
116.09	84166
116.1	84436
116.11	84210
116.12	84963
116.13	84150
116.14	83931
116.15	84398
116.16	84726
116.17	84582
116.18	84623
116.19	84514
116.2	84455
116.21	84655
116.22	84614
116.23	84752
116.24	84399
116.25	84683
116.26	84885
116.27	84525
116.28	84796
116.29	84791
116.3	85040
116.31	84289
116.32	84932
116.33	84199
116.34	84349
116.35	84898
116.36	84356
116.37	84452
116.38	84498
116.39	85173
116.4	84933
116.41	84547
116.42	84177
116.43	84845
116.44	84798
116.45	84588
116.46	83859
116.47	84838
116.48	83801
116.49	83935
116.5	84575
116.51	83743
116.52	83970
116.53	84318
116.54	84056
116.55	84208
116.56	84172
116.57	83087
116.58	83674
116.59	83659
116.6	84016
116.61	83446
116.62	83643
116.63	83364
116.64	83306
116.65	83513
116.66	83018
116.67	83681
116.68	83793
116.69	83417
116.7	83238
116.71	82819
116.72	82853
116.73	82802
116.74	82963
116.75	82461
116.76	83168
116.77	82537
116.78	82488
116.79	82635
116.8	82088
116.81	82185
116.82	81930
116.83	81873
116.84	82343
116.85	82169
116.86	82051
116.87	81776
116.88	82293
116.89	82062
116.9	81407
116.91	81409
116.92	81758
116.93	81545
116.94	81329
116.95	82107
116.96	81691
116.97	81659
116.98	81118
116.99	81457
117	81148
117.01	81057
117.02	81795
117.03	81489
117.04	81197
117.05	80647
117.06	81347
117.07	81062
117.08	81161
117.09	81116
117.1	81195
117.11	80909
117.12	81025
117.13	80858
117.14	80848
117.15	80247
117.16	80408
117.17	80661
117.18	80275
117.19	80394
117.2	80758
117.21	80522
117.22	80550
